ItemID,Status,ItemName,HELPER COLUMN
HI-000109,Active,Male XLR to TRS 6.5mm Jack Cable,
HI-000110,Active,10 Mtr Jack to Jack Male to Male 6.5mm TS to 6.5mm TS Cable,
HI-000112,Active,6.5 TS to 6.5 TS Unballanced Cables Red & Black,
HI-000113,Active,Black Heavy Duty Plastic Box,
HI-000114,Active,NUC Computer,
HI-000115,Active,NUC Labeled Power Block and Cable,
HI-000116,Active,Wireless Mouse,
HI-000117,Active,Wireless Keyboard,
HI-000118,Active,Wireless Dongle Black,
HI-000119,Active,USB C Hub,
HI-000120,Active,32 Gig Stick Windows Bootable Drive,
HI-000121,Active,32 Inch Gigabyte Curved Monitor,
HI-000122,Active,TV Stand Incl Two Parts of Stand,
HI-000123,Active,Gigabyte Monitor Power Supply with 240 Volt Cable,
HI-000124,Active,Flood Light and Stand,
HI-000125,Active,Spot Light,
HI-000127,Active,Large Towel,
HI-000128,Active,20 Ltr Plastic Container Square Opaque,
HI-000129,Active,BBQ Ligher BIC brand,
HI-000130,Active,Fibreglass Pond,
HI-000131,Active,Firewood,
HI-000132,Active,Flare Extinguisher Tin Long Handle,
HI-000133,Active,Flares,
HI-000290,Active,Flares x 12 Packed in Yellow Box,
HI-000134,Active,Galvanised Flare Covers Mini Bucket Shape,
HI-000135,Active,Kindling Precut in Crate,
HI-000136,Active,Lite Blue Soft Foam Mats,
HI-000137,Active,Samba Fire Lighters Pkt 24,
HI-000138,Active,Real Education Event Sign,
HI-000287,Active,Timber Staffs for INITIATION CIRCLE 16 Tied Together,
HI-000296,Active,Timber Staffs for SWEAT FIRE CIRCLE 17 Tied Together,
HI-000141,Active,Tarp Blue 7 X 7 Mtr,
HI-000142,Active,Wheel Barrow Plastic,
HI-000143,Active,Wheel Barrow Steel,
HI-000145,Active,20 Ltr Jerry Can YELLOW for Diesel Only,
HI-000146,Active,Green Plastic Rakes,
HI-000147,Active,Large Axe,
HI-000148,Active,Block Splitter,
HI-000149,Active,Small Square Mouth Shovel Short Handle,
HI-000150,Active,Plastic Watering Can,
HI-000151,Active,Steel Bucket and Steel Shovel Sweat Heater Ash Kit,
HI-000152,Active,10 Pot Flare Carrying Crate,
HI-000153,Active,Dark Grey Soft Foam Mats,
HI-000154,Active,Synthetic Grass Mats,
HI-000155,Active,Black Rubber Mats and Pegs,
HI-000156,Active,10 Ltr Plastic Bucket Incl Lid White,
HI-000157,Inactive,Flare Concreted in Bucket,
HI-000159,Active,Fire Starters Pk 24 Cubes Little Lucifer Brand,
HI-000160,Active,BLACK Latex Free Rubber Gloves,
HI-000163,Active,Spare Wick,
HI-000164,Active,Spare Copper Ring,
HI-000165,Active,Eucalyptus Water Soluable 50ml,
HI-000166,Active,Safety Glasses,
HI-000169,Active,Galvanised Steel Bucket,
HI-000170,Active,Stainless Steel Ladle Long Handle,
HI-000171,Active,Leather Gloves Pair,
HI-000172,Active,Welding Gloves Pair,
HI-000173,Active,Eucalyptus Oil Water Soluable 500ml,
HI-000174,Active,Tea Light Candle Container,
HI-000176,Active,Extra Long Handle Wide Mouth Shovels,
HI-000177,Active,Long Handle Wide Mouth Shovel,
HI-000178,Active,Metal Rake,
HI-000180,Active,10 Ltr White Bucket,
HI-000181,Active,Small Green Synthetic Grass Mat,
