EVENT NAME,TAGS,HELPER COLUMN
Real Woman 1,|NEEDED||REAL1||REALWOMAN|,|REALWOMAN|
Real Man 1,|NEEDED||REAL1|,
Real Woman 2,|NEEDED||REAL2||REALWOMAN|,
Real Man 2,|NEEDED||REAL2|,
Real Spiritual Quest,|NEEDED||RSQ|,
Real Tantra,|NEEDED||TANTRA|,
Real Life Design,|NEEDED||RLD|,
Real Relationships,|NEEDED||RR|,
Real Coach Program,|NEEDED||RCP|,
All,|NEEDED||REAL1||REAL2||REALWOMAN||RSQ||TANTRA||RLD||RR||RLD||REALWOMAN|,
