RowID,BoxNumber,StorageLocation,EventTags,Description,SpecificItemNotesForCrew,QtyReqd,StockOnHand
84,AV 3,MARQUEE,|NEEDED|,4 Socket Switched Power Board (Black),NONE,1,1
85,AV 3,MARQUEE,|NEEDED|,10 Mtr Piggyback Extension Cord (Black),NONE,1,1
86,AV10,MARQUEE,|NEEDED|,25 Mtr Male to Female XLR Mic/Speaker Cable,NONE,1,1
87,AV10,MARQUEE,|NEEDED|,3 Mtr RCA to RCA Cable,NONE,1,1
88,AV10,MARQUEE,|NEEDED|,5 Mtr RCA to RCA Cable,NONE,1,1
89,AV10,MARQUEE,|NEEDED|,2 Mtr 3.5 mm Jack to RCA,NONE,2,2
90,AV10,MARQUEE,|NEEDED|,1 Mtr 3.5 mm Jack to 2 x Male RCA Cable,NONE,1,1
91,AV10,MARQUEE,|NEEDED|,2.5 Mtr 3.5 mm Jack 2x 6.5mm TS Jack Cables,NONE,1,1
92,AV 3,MARQUEE,|NEEDED|,1 Mtr Male RCA to 6.5mm Jack Male TS Cable,NONE,1,1
93,AV 3,MARQUEE,|NEEDED|,3 Mtr HDMI Cable,NONE,2,2
94,AV 3,MARQUEE,|NEEDED|,1.5 Mtr HDMI Cable,NONE,1,1
95,AV 3,MARQUEE,|NEEDED|,2 Mtr Female XLR to 6.5mm Jack Male TS Cable,NONE,2,2
96,AV 3,MARQUEE,|NEEDED|,2 Mtr Male XLR to 6.5mm Male Jack Cable,NONE,1,1
97,AV 3,MARQUEE,|NEEDED|,2 Mtr 6.5 mm to 6.5mm Jack Jack Cable,NONE,6,6
98,AV10,MARQUEE,|NEEDED|,50cm 6.5mm Jack to Jack TS Patch Cable,NONE,2,2
99,AV10,MARQUEE,|NEEDED|,1.5 Mtr Male to Female XLR Cable,NONE,3,3
100,AV10,MARQUEE,|NEEDED|,5 Mtr Female XLR to 6.5mm Male Jack Cable,NONE,1,1
101,AV10,MARQUEE,|NEEDED|,1 Mtr Male to Female USB-A Extension Cable,NONE,1,1
102,AV10,MARQUEE,|NEEDED|,1.5 Mtr Male to Female USB-A Extension Cable,NONE,1,1
103,AV10,MARQUEE,|NEEDED|,3 Mtr Male to Female USB-A Extension Cable,NONE,1,1
104,AV10,MARQUEE,|NEEDED|,2mtr USB-A to USB-B Extension Cable,NONE,1,1
105,AV10,MARQUEE,|NEEDED|,Microsoft Cabled Mouse,NONE,1,1
106,AV 15,MARQUEE,|NEEDED|,240Volt Multiport White Power Ball Incl USB Charge Ports,NONE,1,1
107,AV 15,MARQUEE,|NEEDED|,Selfie Sick,NONE,1,1
108,AV 3,MARQUEE,|NEEDED|,Double Adaptor (White),NONE,2,2
109,AV 10,MARQUEE,|NEEDED|,1 Mtr A/V Male to Male RCA Yellow Red White Cable,NONE,1,1
110,AV 15,MARQUEE,|NEEDED|,Pivo Kit in Black Case with remote and charge Cable,NONE,1,1
111,AV 15,MARQUEE,|NEEDED|,Pivo Smart mount in box,NONE,1,1
112,AV 15,MARQUEE,|NEEDED|,Pivo Action Mount in box,NONE,1,1
113,AV17,MARQUEE,|NEEDED|,Sennheisser e901 Microphone,NONE,1,1
114,AV 3,MARQUEE,|NEEDED|,Modem with power cable,NONE,1,1
115,AV 3,MARQUEE,|NEEDED|,Cable Ties,NONE,2,2
116,AV17,MARQUEE,|NEEDED|,Grunt Strap Container Box,NONE,1,1
117,AV 3,MARQUEE,|NEEDED|,Paint Brush set,NONE,1,1
118,AV 10,MARQUEE,|NEEDED|,MISCELANEOUS BACKUPS BOX,EXTRA AV GEAR,1,1
119,AV 10,MARQUEE,|NEEDED|,HDMI 30 Mtr Cable Boosted,NONE,2,2
120,AV10,MARQUEE,|NEEDED|,Male XLR to TRS 6.5mm Male Jack Cable,NONE,1,1
121,AV10,MARQUEE,|NEEDED|,10 Mtr Jack to Jack Male to Male 6.5mm TS to 6.5mm TS Cable,NONE,2,2
122,AV17,MARQUEE,|NEEDED|,HDMI Switcher,NONE,1,1
123,AV10,MARQUEE,|NEEDED|,6.5 TS to 6.5 TS Unballanced Cables (Red & Black),NONE,2,2
124,AV4,CONTAINER,|NEEDED|,Black Heavy Duty Plastic Box,NONE,1,1
125,AV4,CONTAINER,|NEEDED|,NUC Computer,NONE,1,1
126,AV4,CONTAINER,|NEEDED|,NUC Labeled Power Block and Cable,NONE,1,1
127,AV4,CONTAINER,|NEEDED|,Wireless Mouse,NONE,1,1
128,AV4,CONTAINER,|NEEDED|,Wireless Keyboard,NONE,1,1
129,AV4,CONTAINER,|NEEDED|,Wireless Dongle Black,Stored in front USB Port in NUC,1,1
130,AV4,CONTAINER,|NEEDED|,USB 'C' Hub,NONE,1,1
131,AV4,CONTAINER,|NEEDED|,32 Gig Stick Windows Bootable Drive,KEEP SAFE,1,1
132,AV4,CONTAINER,|NEEDED|,32 Inch Gigabyte Curved Monitor,NONE,1,1
133,AV 5,CONTAINER,|NEEDED|,TV Stand - Two Parts of Stand,NONE,1,1
134,AV4,CONTAINER,|NEEDED|,240Volt to Right Angle 2 Pin Power Cable,NONE,1,1
135,AV13,MARQUEE,|NEEDED|,Flood lights and stands,For Group Photos on Sunday night - Req's 1 X 5 Mtr Extension Lead with each,2,2
136,AV20,MARQUEE,|REAL2|,Surrender Spot Light Hung in Centre of Main Space,Switch is Behind Music Desk,1,1
137,Fac 1,CONTAINER,INACTIVE,Black Single Bed Fitted Sheet,NONE,2,2
138,Fac 1,CONTAINER,INACTIVE,Large Towels in Good Condition,Source from Towels - MT10 in Marquee,3,3
139,BREEZEWAY,BREEZEWAY,INACTIVE,20 Ltr Container Square Opaque, Pre-filled for Waterlord Ritual,2,2
140,BREEZEWAY,BREEZEWAY,INACTIVE,BIC brand BBQ ligher,NONE,1,1
141,BREEZEWAY,BREEZEWAY,INACTIVE,Empty Fibreglass Pond- Waterlord Ritual,NONE,1,1
142,BREEZEWAY,BREEZEWAY,INACTIVE,Firewood,NONE,1,1
143,BREEZEWAY,BREEZEWAY,INACTIVE,Flare Extinguisher Tin Long Handle,NONE,2,2
144,BREEZEWAY,BREEZEWAY,INACTIVE,Flares Pre-Filled (12 flares per yellow box) - Spares if needed,NONE,36,36
145,BREEZEWAY,BREEZEWAY,INACTIVE,Galvanised Flare Covers (Mini-Buckets),NONE,40,40
146,BREEZEWAY,BREEZEWAY,INACTIVE,Kindling,NONE,1,1
147,BREEZEWAY,BREEZEWAY,INACTIVE,Lite Blue Soft Foam Mats Place Around Sweat Fire Bot/Heater,NONE,8,8
148,BREEZEWAY,BREEZEWAY,INACTIVE,Pkt 24 Samba Fire Lighters,NONE,1,1
149,BREEZEWAY,BREEZEWAY,INACTIVE,Real Education Event Signs,NONE,2,2
150,BREEZEWAY,BREEZEWAY,INACTIVE,Timber Staffs for INITIATION CIRCLE (Tied Together),NONE,16,16
151,BREEZEWAY,BREEZEWAY,INACTIVE,Timber Staffs for SWEAT FIRE CIRCLE (Tied Together),NONE,17,17
152,BREEZEWAY,BREEZEWAY,|NEEDED|,Fire Tarp,NONE,2,2
153,BREEZEWAY,BREEZEWAY,|NEEDED|,Wheel Barrow - Steel,NONE,2,2
154,BREEZEWAY,BREEZEWAY,|NEEDED|,Flares Pre-Filled (12 flares per yellow box),NONE,2,2
155,BREEZEWAY,BREEZEWAY,|NEEDED|,Galvanised Flare Covers (Mini-Buckets),NONE,24,12
156,BREEZEWAY,BREEZEWAY,|NEEDED|,20 LTR Jerry Can YELLOW, DIESEL ONLY - for Flare Refilling,1,1
157,BREEZEWAY,BREEZEWAY,|NEEDED|,Green Plastic Rakes,NONE,3,3
158,BREEZEWAY,BREEZEWAY,|NEEDED|,Large Axe," 2 yellow, 1 orange",3,2
159,BREEZEWAY,BREEZEWAY,|NEEDED|,Block Splitter Yellow,NONE,2,2
160,BREEZEWAY,BREEZEWAY,|NEEDED|,Small Square-Mouth Shovel Short Handle,NONE,1,1
161,BREEZEWAY,BREEZEWAY,|NEEDED|,Plastic Watering Can **Use to refill Flares,NONE,1,1
162,BREEZEWAY,BREEZEWAY,|NEEDED|,Plastic white bucket and black stive shovel,NONE,1,1
163,BREEZEWAY,BREEZEWAY,|NEEDED|,10 Pot Flare Carrying Crate,NONE,1,1
164,BREEZEWAY,BREEZEWAY,|NEEDED|,Dark Grey Soft Foam Mats- Waterlord,NONE,0,0
165,BREEZEWAY,INSIDE SWEAT,|NEEDED|,Synthetic Grass Mats- Rolled,NONE,2,2
166,BREEZEWAY,BREEZEWAY,|NEEDED|,Black Rubber Mats and Pegs,NONE,4,4
167,BREEZEWAY,BREEZEWAY,|NEEDED|,10 Ltr Clay Bucket with Lid,Pre filled with Clay - Half Full - With Lids,4,4
168,BREEZEWAY,OUTSIDE SWEAT,|NEEDED|,Creek Flares in concrete buckets,NONE,3,3
169,F1,BREEZEWAY,|NEEDED|,Chux Roll,NONE,1,1
170,F1,BREEZEWAY,|NEEDED|,Fire Starters Packet (x24 cubes) Little Lucifer,NONE,4,4
171,F1,BREEZEWAY,|NEEDED|,BLACK Latex Free Rubber Gloves Container (Full),NONE,2,2
172,F1,L/H,|NEEDED|,Mortein Bug Bombs,NONE,2,2
173,F1,BREEZEWAY,|NEEDED|,Aeroguard Spray Cans,NONE,1,1
174,F1,BREEZEWAY,|NEEDED|,Spare Wick,NONE,1,1
175,F1,BREEZEWAY,|NEEDED|,Spare Copper Ring For Flares,NONE,1,1
176,F1,BREEZEWAY,|NEEDED|,Eucalyptus Water Soluable 50ml,NONE,1,1
177,F1,BREEZEWAY,|NEEDED|,Safety Glasses,NONE,3,3
178,F1,BREEZEWAY,|NEEDED|,Dolphin Torches Checked as working,NONE,1,1
179,F1,BREEZEWAY,|NEEDED|,Diesel Sauce Containers (Full) in yellow container,NONE,3,3
180,F2,BREEZEWAY,|NEEDED|,Sweat Bucket,NONE,2,2
181,F2,BREEZEWAY,|NEEDED|,Stainless Steele Ladle,NONE,2,2
182,F2,BREEZEWAY,|NEEDED|,Heat Protection Gloves,NONE,1,1
183,F2,BREEZEWAY,|NEEDED|,Pair black welding gloves (to load woood into Sweat stove),NONE,1,1
184,F2,BREEZEWAY,|NEEDED|,500ml Soluble Eucalyptus Oil (back up for Sweat water mix),NONE,1,1
185,F2,BREEZEWAY,|NEEDED|,Tea Light Candles Container (Full),NONE,1,1
186,F2,BREEZEWAY,|NEEDED|,Dolphin Torches Checked as working,NONE,2,2
187,BREEZEWAY,BREEZEWAY,|REAL2|,Extra Long Handle Wide Mouth Shovels,NONE,2,2
188,BREEZEWAY,BREEZEWAY,|REAL2|,Long Handle wide mouth shovels,NONE,2,2
189,BREEZEWAY,BREEZEWAY,|REAL2|,Metal Rakes,NONE,2,2
190,BREEZEWAY,BREEZEWAY,|REAL2|,20 Ltr Container- Round White, Bucket of Charcoal for Fire Walk - Lane Base,4,4
191,BREEZEWAY,BREEZEWAY,|REAL2|,10 Ltr White Bucket,Charcoal crushed- Phoneinx Rising,1,1
192,BREEZEWAY,BREEZEWAY,|REAL2|,Small green synthetic grass mats For Fire Walk,NONE,4,4
193,TOP SHED,TOP SHED,|REAL2|,"Gauntlet Lane Kit 2 x 15Mtr black straps, 2 x Ratchets plus 2 x mats.",Box is stored on shelves with other straps.,1,1
194,BREEZEWAY,BREEZEWAY,|RSQ|,Yellow tub with Citronella filled Flares and tin covers,NONE,6,6
195,BREEZEWAY,BREEZEWAY,|RSQ|,Hell Fire Trays- Metal,Stored in Blue Barrel - PRE-PACK with OLD TOWELS,14,14
196,BREEZEWAY,BREEZEWAY,|RSQ|,Sauce Bottles 1Ltr Incl Lid - with Petrol/Diesel Premixed,Petrol/Diesel Premixed,3,3
197,BREEZEWAY,TOP SHED,|TANTRA|,Sweat Tarp Circular - Cut to Size,NONE,1,1
198,UNKNOWN,MARQUEE,|TANTRA|,Blue Plastic Footbaths,NONE,2,2
199,CONTAINER,CONTAINER,|REAL1|,Big Drum,NONE,1,1
200,R1,MARQUEE,|REAL1|,Brass Ornamental Dishes (Large),NONE,4,4
201,R1,MARQUEE,|REAL1|,Brown Suede Podium Cloth Sealed In Clip Lock Bag,NONE,1,1
202,R1,MARQUEE,|REAL1|,Clay - Container Makeup With Green Lid,for Makeup,1,1
203,R1,MARQUEE,|REAL1|,Eucalyptus Oil 250ml,NONE,1,0
204,R1,MARQUEE,|REAL1|,Gas BBQ Lighter Bic Brand ONLY,NONE,2,2
205,R1,MARQUEE,|REAL1|,Half Masks (cut to shape),NONE,8,7
206,R1,MARQUEE,|REAL1|,Half Masks (whole),NONE,9,8
207,R1,MARQUEE,|REAL1|,Macadamia Oil 200ml Pump Bottle,NONE,1,1
208,R1,MARQUEE,|REAL1|,Sage Brass Pot with Handle,NONE,1,1
209,R1,MARQUEE,|REAL1|,Sage Smudge Sticks,NONE,2,1
210,R1,MARQUEE,|REAL1|,Shaker Maracca (for Sweat),NONE,1,1
211,R1,MARQUEE,|REAL1|,Charcoal - Plastic Container with Green Lid ,for Makeup,1,1
212,R1,MARQUEE,|REAL1|,Stainless Steel Bowls (Large),NONE,4,4
213,R1,MARQUEE,|REAL1|,Stainless Steel Bowls (Small) Goblet Style,NONE,6,6
214,R1,MARQUEE,|REAL1|,White Ceramic Bowls small in clip lock bag,NONE,2,2
215,R1,MARQUEE,|REAL1|,Feather Sage Stick,NONE,2,2
216,R1,MARQUEE,|REAL1|,Ritual Jewellery Bag,NONE,1,1
217,R2,CONTAINER,|REAL1|,Buffalo Drums (Large) with Beaters,NONE,3,3
218,R3,CONTAINER,|REAL1|,Light & Shadow Box Incl 1 Black + 1 White Sheet for Initiation Ceremony,NONE,1,1
219,R3,MARQUEE,|REAL1|,Aeroguard,NONE,1,1
220,R3,MARQUEE,|REAL1|,Half Mask,NONE,1,1
221,R3,MARQUEE,|REAL1|,White Cotton Sheet,NONE,1,1
222,R4,CONTAINER,|REAL1|,Cow Bell & Stick,NONE,1,1
223,R4,CONTAINER,|REAL1|,Maraccas,NONE,16,16
224,R4,CONTAINER,|REAL1|,Spare Drum Sticks,NONE,2,2
225,R4,CONTAINER,|REAL1|,Tamborines,NONE,9,9
226,R5,CONTAINER,|REAL1|,Queen/King Ritual Flares (Silver Hand Held),NONE,5,4
227,R5,CONTAINER,|REAL1|,BBQ Gas Lighter BIC BRAND,NONE,1,1
228,R5,CONTAINER,|REAL1|,Black Wooden Frame For Storing Flares on site,NONE,1,1
229,R5,CONTAINER,|REAL1|,Black Gloves,NONE,12,12
230,R5,MARQUEE,|REAL1|,Bollard Flare (Fuel Container and Wick ),NONE,1,1
231,R5,MARQUEE,|REAL1|,Ritual Bollard Flame Extinguisher Can,NONE,1,1
232,R5,CONTAINER,|REAL1|,Diesel Sauce Container (Full),NONE,1,1
233,R5,MARQUEE,|REAL1|,Small Flare Extinguisher,NONE,1,1
234,R6,CONTAINER,|REAL1|,Small Mirrors Mirror & Clay,NONE,2,2
