box_number,box_label
"AV 16",""
AV17,""
AV18,""
AV19,""
F10,""
F11,""
F12,""
F13,""
F14,""
F15,""
F16,""
F17,""
F18,""
F19,""
F20,""
F7,""
F8,""
F9,""
"FAC 1",""
K1,""
K2,""
K3,""
K4,""
KITCHEN,""
"Kitchen - Metal Shelves",""
"Kitchen - Under Sink",""
"Kitchen - White Cupboard",""
"LEADERSHIP BOX",""
"LH SHELVES",""
LOOSE,""
R10,""
R11,""
R12,""
R13,""
R14,""
R21,""
R28,""
R29,""
R30,""
R31,""
R32,""
R33,""
R34,""
R46,""
R47,""
R48,""
R49,""
R50,""
R?,""
Z59,""
Z72,""
Z73,""
Z74,""
Z75,""
Z76,""
Z77,""
